TitleID,Region,Title versions,Update versions
000400300000C502,JPN,v1026 v2053 v3074 v5128 v6145,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 9.0.0-20 9.6.0-24
000400300000C502,EUR,v1026 v2053 v3074 v5128 v6145,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 9.0.0-20 (stage3) 9.6.0-24
000400300000C503,USA,v0,2.0.0-2 Initial scan
000400300000C503,JPN,v0,2.0.0-2 Initial scan
000400300000C503,EUR,v0,2.0.0-2 Initial scan
000400300000C802,USA,v1026 v2053 v3072 v4096,2.0.0-2 Initial scan 3.0.0-5 7.0.0-13 9.0.0-20
000400300000C803,USA,v0,2.0.0-2 Initial scan
000400300000C902,USA,v0 v1026 v2048 v3077,2.0.0-2 Initial scan 3.0.0-5 9.0.0-20 9.3.0-21 (stage3)
000400300000CB02,USA,v0 v1024 v3075 v4096,2.0.0-2 Initial scan 3.0.0-5 9.0.0-20 9.3.0-21 (stage3)
000400300000CC02,USA,v3 v1026 v2048,2.0.0-2 Initial scan 8.0.0-18 9.0.0-20
0004009B00010202,CHN,v0,4.0.0-7
0004009B00010202,USA,v0,2.0.0-2 Initial scan
0004009B00010202,JPN,v0,2.0.0-2 Initial scan
0004009B00010202,KOR,v0,4.0.0-7
0004009B00010202,EUR,v0,2.0.0-2 Initial scan
0004009B00010202,TWN,v0,4.1.0-8
0004009B00010402,CHN,v3072 v4098 v5122,4.0.0-7 7.0.0-13 9.6.0-24
0004009B00010402,USA,v1024 v2050 v3072 v4098 v5122,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 7.0.0-13 9.6.0-24
0004009B00010402,JPN,v1024 v2050 v3072 v4098 v5122,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 7.0.0-13 9.6.0-24
0004009B00010402,KOR,v3072 v4098 v5122,4.0.0-7 7.0.0-13 9.6.0-24
0004009B00010402,EUR,v1024 v2050 v3072 v4098 v5122,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 7.0.0-13 9.6.0-24
0004009B00010402,TWN,v3072 v4098 v5122,4.1.0-8 7.0.0-13 9.6.0-24
0004009B00010602,CHN,v2 v1024,4.0.0-7 10.5.0-30
0004009B00010602,USA,v2 v1024,2.0.0-2 Initial scan 10.5.0-30
0004009B00010602,JPN,v2 v1024,2.0.0-2 Initial scan 10.5.0-30
0004009B00010602,KOR,v2 v1024,4.0.0-7 10.5.0-30
0004009B00010602,EUR,v2 v1024,2.0.0-2 Initial scan 10.5.0-30
0004009B00010602,TWN,v2 v1024,4.1.0-8 10.5.0-30
0004009B00011402,USA,v0,2.0.0-2 Initial scan
0004009B00011602,USA,v0,2.0.0-2 Initial scan
0004009B00011D02,USA,v0,2.0.0-2 Initial scan
0004009B00011D02,EUR,v0,2.0.0-2 Initial scan
0004009B00011E02,USA,v0,2.0.0-2 Initial scan
0004009B00012302,USA,v1026 v2053 v3073 v4096 v5120 v6149 v7168 v8192 v9218 v10242 v11269 v12289 v13313,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 4.2.0-9 5.0.0-11 7.0.0-13 7.2.0-17 8.0.0-18 9.0.0-20 9.3.0-21 (stage3) 9.6.0-24 10.0.0-27 10.4.0-29
0004009B00013302,USA,v1024 v2051 v3074 v4099 v5123,2.0.0-2 Initial scan 3.0.0-5 7.0.0-13 9.0.0-20 10.0.0-27
0004009B00014002,CHN,v0,4.0.0-7
0004009B00014002,USA,v0,2.0.0-2 Initial scan
0004009B00014002,JPN,v0,2.0.0-2 Initial scan
0004009B00014002,KOR,v0,4.0.0-7
0004009B00014002,EUR,v0,2.0.0-2 Initial scan
0004009B00014002,TWN,v0,4.1.0-8
0004009B00014102,CHN,v1024,4.0.0-7
0004009B00014102,USA,v0 v1024,2.0.0-2 Initial scan 4.0.0-7
0004009B00014102,JPN,v0 v1024,2.0.0-2 Initial scan 4.0.0-7
0004009B00014102,KOR,v1024,4.0.0-7
0004009B00014102,EUR,v0 v1024,2.0.0-2 Initial scan 4.0.0-7
0004009B00014102,TWN,v1024,4.1.0-8
0004009B00014202,CHN,v1024,4.0.0-7
