TitleID,Region,Title versions,Update versions
0004013000001B02,USA,v3073,9.5.0-22
0004013000001B02,JPN,v3073,9.5.0-22
0004013000001B02,KOR,v3073,02-11-15 GPIO
0004013000001B02,EUR,v3073,9.5.0-22
0004013000001D02,CHN,v9216 v10240,9.0.0-20 9.3.0-21 (stage2)
0004013000001D02,USA,v9216 v10240,9.0.0-20 (stage2) 9.3.0-21 (stage2)
0004013000001D02,JPN,v9216 v10240,9.0.0-20 (stage3) 9.3.0-21 (stage2)
0004013000001D02,KOR,v10240,9.3.0-21 (stage1)
0004013000001D02,EUR,v9216 v10240,9.0.0-20 9.3.0-21 (stage3)
0004013000001D02,TWN,v9216 v10240,9.0.0-20 9.3.0-21 (stage1)
0004013000002402,CHN,v8192 v9216,9.0.0-20 9.3.0-21 (stage2)
0004013000002402,USA,v8192 v9216,9.0.0-20 (stage2) 9.3.0-21 (stage2)
0004013000002402,JPN,v8192 v9216,9.0.0-20 (stage3) 9.3.0-21 (stage2)
0004013000002402,KOR,v9216,9.3.0-21 (stage1)
0004013000002402,EUR,v8192 v9216,9.0.0-20 9.3.0-21 (stage3)
0004013000002402,TWN,v8192 v9216,9.0.0-20 9.3.0-21 (stage1)
0004013000002602,CHN,v10240,9.0.0-20
0004013000002602,USA,v10240,9.0.0-20 (stage2)
0004013000002602,JPN,v10240,9.0.0-20 (stage3)
0004013000002602,KOR,v10240,9.3.0-21 (stage1)
0004013000002602,EUR,v10240,9.0.0-20
0004013000002602,TWN,v10240,9.0.0-20
0004013000002702,CHN,v5120,9.0.0-20
0004013000002702,USA,v5120,9.0.0-20 (stage2)
0004013000002702,JPN,v5120,9.0.0-20 (stage3)
0004013000002702,KOR,v5120,9.3.0-21 (stage1)
0004013000002702,EUR,v5120,9.0.0-20
0004013000002702,TWN,v5120,9.0.0-20
0004013000002802,CHN,v6145 v7174 v8192,9.0.0-20 9.6.0-24 10.0.0-27
0004013000002802,USA,v6145 v7174 v8192,9.0.0-20 (stage2) 9.6.0-24 10.0.0-27
0004013000002802,JPN,v6145 v7174 v8192,9.0.0-20 (stage3) 9.6.0-24 10.0.0-27
0004013000002802,KOR,v6145 v7174 v8192,9.3.0-21 (stage1) 9.6.0-24 10.0.0-27
0004013000002802,EUR,v6145 v7174 v8192,9.0.0-20 9.6.0-24 10.0.0-27
0004013000002802,TWN,v6145,9.0.0-20
0004013000002902,CHN,v12288 v13318,9.0.0-20 9.6.0-24
0004013000002902,USA,v12288 v13318,9.0.0-20 (stage2) 9.6.0-24
0004013000002902,JPN,v12288 v13318,9.0.0-20 (stage3) 9.6.0-24
0004013000002902,KOR,v12288 v13318,9.3.0-21 (stage1) 9.6.0-24
0004013000002902,EUR,v12288 v13318,9.0.0-20 9.6.0-24
0004013000002902,TWN,v12288,9.0.0-20
0004013000002B02,CHN,v7169,9.0.0-20
0004013000002B02,USA,v7169,9.0.0-20 (stage2)
0004013000002B02,JPN,v7169,9.0.0-20 (stage3)
0004013000002B02,KOR,v7169,9.3.0-21 (stage1)
0004013000002B02,EUR,v7169,9.0.0-20
0004013000002B02,TWN,v7169,9.0.0-20
0004013000002C02,CHN,v10249 v11267 v12296 v13313,9.0.0-20 9.3.0-21 (stage2) 9.6.0-24 10.0.0-27
0004013000002C02,USA,v10249 v11267 v12296 v13313,9.0.0-20 (stage2) 9.3.0-21 (stage2) 9.6.0-24 10.0.0-27
0004013000002C02,JPN,v10249 v11267 v12296 v13313,9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.6.0-24 10.0.0-27
0004013000002C02,KOR,v11267 v12296 v13313,9.3.0-21 (stage1) 9.6.0-24 10.0.0-27
0004013000002C02,EUR,v10249 v11267 v12296 v13313,9.0.0-20 9.3.0-21 (stage3) 9.6.0-24 10.0.0-27
0004013000002C02,TWN,v10249 v11267,9.0.0-20 9.3.0-21 (stage1)
0004013000002D02,CHN,v10240,9.0.0-20
0004013000002D02,USA,v10240,9.0.0-20 (stage2)
0004013000002D02,JPN,v10240,9.0.0-20 (stage3)
0004013000002D02,KOR,v10240,9.3.0-21 (stage1)
0004013000002D02,EUR,v10240,9.0.0-20
0004013000002D02,TWN,v10240,9.0.0-20
0004013000002E02,CHN,v7168 v8192,9.0.0-20 10.6.0-31
0004013000002E02,USA,v7168 v8192,9.0.0-20 (stage2) 10.6.0-31
0004013000002E02,JPN,v7168 v8192,9.0.0-20 (stage3) 10.6.0-31
0004013000002E02,KOR,v7168 v8192,9.3.0-21 (stage1) 10.6.0-31
0004013000002E02,EUR,v7168 v8192,9.0.0-20 10.6.0-31
0004013000002E02,TWN,v7168,9.0.0-20
0004013000002F02,CHN,v7168 v8198,9.0.0-20 9.6.0-24
0004013000002F02,USA,v7168 v8198,9.0.0-20 (stage2) 9.6.0-24
0004013000002F02,JPN,v7168 v8198,9.0.0-20 (stage3) 9.6.0-24
0004013000002F02,KOR,v7168 v8198,9.3.0-21 (stage1) 9.6.0-24
0004013000002F02,EUR,v7168 v8198,9.0.0-20 9.6.0-24
0004013000002F02,TWN,v7168,9.0.0-20
0004013000003102,CHN,v5120,9.0.0-20
0004013000003102,USA,v5120,9.0.0-20 (stage2)
0004013000003102,JPN,v5120,9.0.0-20 (stage3)
0004013000003102,KOR,v5120,9.3.0-21 (stage1)
0004013000003102,EUR,v5120,9.0.0-20
0004013000003102,TWN,v5120,9.0.0-20
0004013000003202,CHN,v8192 v9216 v10240 v11264,9.0.0-20 10.5.0-30 10.7.0-32 11.0.0-33
0004013000003202,USA,v8192 v9216 v10240 v11264,9.0.0-20 (stage2) 10.5.0-30 10.7.0-32 11.0.0-33
0004013000003202,JPN,v8192 v9216 v10240 v11264,9.0.0-20 (stage3) 10.5.0-30 10.7.0-32 11.0.0-33
0004013000003202,KOR,v8192 v9216 v10240 v11264,9.3.0-21 (stage1) 10.5.0-30 10.7.0-32 11.0.0-33
0004013000003202,EUR,v8192 v9216 v10240 v11264,9.0.0-20 10.5.0-30 10.7.0-32 11.0.0-33
0004013000003202,TWN,v8192,9.0.0-20
0004013000003302,CHN,v8192 v9216 v10246 v11265 v12289 v13313,9.0.0-20 9.3.0-21 (stage2) 9.6.0-24 10.0.0-27 10.6.0-31 11.0.0-33
0004013000003302,USA,v8192 v9216 v10246 v11265 v12289 v13313,9.0.0-20 (stage2) 9.3.0-21 (stage2) 9.6.0-24 10.0.0-27 10.6.0-31 11.0.0-33
0004013000003302,JPN,v8192 v9216 v10246 v11265 v12289 v13313,9.0.0-20 (stage3) 9.3.0-21 (stage2) 9.6.0-24 10.0.0-27 10.6.0-31 11.0.0-33
0004013000003302,KOR,v9216 v10246 v11265 v12289 v13313,9.3.0-21 (stage1) 9.6.0-24 10.0.0-27 10.6.0-31 11.0.0-33
0004013000003302,EUR,v8192 v9216 v10246 v11265 v12289 v13313,9.0.0-20 9.3.0-21 (stage3) 9.6.0-24 10.0.0-27 10.6.0-31 11.0.0-33
0004013000003302,TWN,v8192 v9216,9.0.0-20 9.3.0-21 (stage1)
0004013000003402,CHN,v11266 v12289 v13314,9.0.0-20 10.0.0-27 10.4.0-29
0004013000003402,USA,v11266 v12289 v13314,9.0.0-20 (stage2) 10.0.0-27 10.4.0-29
0004013000003402,JPN,v11266 v12289 v13314,9.0.0-20 (stage3) 10.0.0-27 10.4.0-29
0004013000003402,KOR,v11266 v12289 v13314,9.3.0-21 (stage1) 10.0.0-27 10.4.0-29
0004013000003402,EUR,v11266 v12289 v13314,9.0.0-20 10.0.0-27 10.4.0-29
0004013000003402,TWN,v11266,9.0.0-20
0004013000003502,CHN,v6147 v7168,9.0.0-20 9.7.0-25
0004013000003502,USA,v6147 v7168,9.0.0-20 (stage2) 9.7.0-25
0004013000003502,JPN,v6147 v7168,9.0.0-20 (stage3) 9.7.0-25
0004013000003502,KOR,v6147 v7168,9.3.0-21 (stage1) 9.7.0-25
0004013000003502,EUR,v6147 v7168,9.0.0-20 9.7.0-25
0004013000003502,TWN,v6147,9.0.0-20
